월,제품,고급휘발유,보통휘발유,실내등유,선박용경유,자동차용경유,벙커C유,용제,아스팔트
09월,"2,016.45","1,884.54","1,226.58",-,"1,652.99","1,714.88","1,049.49",879.09,797.47
10월,"1,973.80","1,841.17","1,201.88",-,"1,677.31","1,681.48","1,014.31",892.90,812.35
11월,"1,926.18","1,795.61","1,151.85",-,"1,632.03","1,637.50",955.42,863.71,735.61
06월,-,"1,438.37",787.15,785.97,"1,091.71","1,129.47",459.39,-,-
07월,-,"1,437.89",808.25,807.47,"1,104.55","1,161.84",471.98,-,-
08월,-,"1,401.26",794.32,802.25,"1,141.57","1,182.51",484.63,-,-
09월,-,"1,415.12",829.76,833.05,"1,138.14","1,220.00",490.45,-,-
10월,-,"1,438.61",862.42,861.85,"1,169.72","1,245.27",506.21,-,-
11월,-,"1,508.09",957.36,950.87,"1,196.83","1,314.87",540.36,-,-
12월,-,"1,515.81",960.09,956.87,"1,256.48","1,314.31",589.02,-,-
08년 01월,-,"1,530.38",830.13,829.70,"1,280.33","1,329.52",591.71,-,-
02월,-,"1,539.03",834.96,840.51,"1,299.64","1,353.10",589.34,-,-
03월,-,"1,532.37",959.24,964.28,"1,239.37","1,406.39",607.14,-,-
04월,-,"1,591.07","1,136.01","1,123.75","1,383.61","1,522.58",664.51,-,-
05월,-,"1,706.89","1,289.29","1,279.38","1,485.89","1,690.83",725.07,-,-
06월,-,"1,775.19","1,365.83","1,364.74","1,620.95","1,758.70",816.67,-,-
07월,-,"1,768.53","1,379.13","1,372.52","1,751.36","1,755.18",888.60,-,-
08월,-,"1,609.59","1,159.82","1,163.50","1,667.46","1,550.14",914.90,-,-
09월,-,"1,631.26","1,144.25","1,144.98","1,540.05","1,527.76",897.79,-,-
10월,-,"1,547.17","1,035.30","1,029.37","1,489.34","1,403.03",831.26,-,-
11월,-,"1,308.26",886.62,904.10,"1,368.37","1,253.18",681.60,-,-
12월,-,"1,190.77",743.88,748.55,"1,232.37","1,168.79",550.58,-,-
09년 01월,-,"1,306.91",737.64,731.19,"1,221.53","1,218.04",482.92,-,-
02월,-,"1,410.51",733.99,726.00,"1,159.88","1,164.55",498.16,-,-
03월,-,"1,429.14",768.94,759.97,"1,112.56","1,182.64",515.91,-,-
04월,"1,573.86","1,441.61",712.13,734.49,"1,141.21","1,204.53",530.05,558.02,450.64
05월,"1,579.14","1,450.50",716.39,739.22,"1,180.56","1,211.32",564.86,552.41,473.53
06월,"1,670.79","1,548.62",822.27,845.03,"1,166.56","1,314.44",619.97,560.32,496.25
07월,"1,654.14","1,525.52",792.68,824.64,"1,290.38","1,288.70",679.29,659.56,514.73
08월,"1,720.98","1,597.48",848.02,880.59,"1,265.68","1,354.26",696.74,634.21,550.96
09월,"1,678.89","1,551.46",808.08,837.21,"1,293.37","1,308.37",712.72,685.22,563.46
10월,"1,642.16","1,513.91",832.63,833.98,"1,279.43","1,299.11",687.82,645.00,570.90
11월,"1,676.18","1,552.62",866.29,878.16,"1,252.05","1,344.44",671.07,654.07,558.18
